,Year,Destination,Origin,Type,Value,dcode,ocode
6651,2017,Belgium,Burkina Faso,Refugees (incl. refugee-like situations),76,BEL,BFA
6652,2017,Belgium,Bangladesh,Refugees (incl. refugee-like situations),18,BEL,BGD
6653,2017,Belgium,Bulgaria,Refugees (incl. refugee-like situations),14,BEL,BGR
6654,2017,Belgium,Bosnia and Herzegovina,Refugees (incl. refugee-like situations),50,BEL,BIH
6655,2017,Belgium,Belarus,Refugees (incl. refugee-like situations),41,BEL,BLR
6656,2017,Belgium,Bolivia (Plurinational State of),Refugees (incl. refugee-like situations),0,BEL,BOL
6657,2017,Belgium,Brazil,Refugees (incl. refugee-like situations),0,BEL,BRA
6658,2017,Belgium,Bhutan,Refugees (incl. refugee-like situations),0,BEL,BTN
6659,2017,Belgium,Central African Rep.,Refugees (incl. refugee-like situations),41,BEL,CAF
6660,2017,Belgium,Chile,Refugees (incl. refugee-like situations),48,BEL,CHL
6661,2017,Belgium,China,Refugees (incl. refugee-like situations),1197,BEL,CHN
6662,2017,Belgium,CÌ«te d'Ivoire,Refugees (incl. refugee-like situations),153,BEL,CIV
6663,2017,Belgium,Cameroon,Refugees (incl. refugee-like situations),404,BEL,CMR
6664,2017,Belgium,Dem. Rep. of the Congo,Refugees (incl. refugee-like situations),1015,BEL,COD
6665,2017,Belgium,Congo,Refugees (incl. refugee-like situations),31,BEL,COG
6666,2017,Belgium,Colombia,Refugees (incl. refugee-like situations),33,BEL,COL
6667,2017,Belgium,Cuba,Refugees (incl. refugee-like situations),8,BEL,CUB
6668,2017,Belgium,Czech Rep.,Refugees (incl. refugee-like situations),6,BEL,CZE
6669,2017,Belgium,Germany,Refugees (incl. refugee-like situations),0,BEL,DEU
6670,2017,Belgium,Djibouti,Refugees (incl. refugee-like situations),267,BEL,DJI
6671,2017,Belgium,Dominican Rep.,Refugees (incl. refugee-like situations),0,BEL,DOM
6672,2017,Belgium,Algeria,Refugees (incl. refugee-like situations),46,BEL,DZA
6673,2017,Belgium,Egypt,Refugees (incl. refugee-like situations),50,BEL,EGY
6674,2017,Belgium,Eritrea,Refugees (incl. refugee-like situations),1000,BEL,ERI
6675,2017,Belgium,Spain,Refugees (incl. refugee-like situations),0,BEL,ESP
6676,2017,Belgium,Ethiopia,Refugees (incl. refugee-like situations),121,BEL,ETH
6677,2017,Belgium,Gabon,Refugees (incl. refugee-like situations),16,BEL,GAB
6678,2017,Belgium,United Kingdom,Refugees (incl. refugee-like situations),0,BEL,GBR
6679,2017,Belgium,Georgia,Refugees (incl. refugee-like situations),49,BEL,GEO
6680,2017,Belgium,Ghana,Refugees (incl. refugee-like situations),36,BEL,GHA
6681,2017,Belgium,Guinea,Refugees (incl. refugee-like situations),2690,BEL,GIN
6682,2017,Belgium,Gambia,Refugees (incl. refugee-like situations),15,BEL,GMB
6683,2017,Belgium,Guinea-Bissau,Refugees (incl. refugee-like situations),11,BEL,GNB
6684,2017,Belgium,Guatemala,Refugees (incl. refugee-like situations),6,BEL,GTM
